No.,Drug Name,Active Ingredient,Approval Date,FDA-approved use on approval date*
26.0,Aduhelm,aducanumab,6/7/2021,For treatment of Alzheimer’s diseasePress Release
25.0,Brexafemme,ibrexafungerp tablets,6/1/2021,To treat vulvovaginal candidiasis in adult females and pediatric females who have begun menstruating
24.0,Lybalvi,olanzapine/samidorphan,5/28/2021,To treat schizophrenia in adults and certain aspects of bipolar I disorder in adults
23.0,Truseltiq,infigratinib,5/28/2021,To treat adults with cholangiocarcinoma whose disease meets certain criteria
22.0,Lumakras,sotorasib,5/28/2021,To treat adults with non-small cell lung cancer whose disease meets certain criteriaPress Release
21.0,Pylarify,piflufolastat F 18 injection,5/26/2021,For positron emission tomography imaging of prostate-specific membrane antigen-positive lesions in men with prostate cancer
20.0,Rybrevant,amivantamab-vmjw,5/21/2021,To treat adults with subset of non-small cell lung cancerPress Release
19.0,Empaveli,pegcetacoplan,5/14/2021,To treat adult patients with paroxysmal nocturnal hemoglobinuria
18.0,Zynlonta,loncastuximab tesirine-lpyl,4/23/2021,To treat certain types of relapsed or refractory large B-cell lymphoma
17.0,Jemperli,dostarlimab-gxly,4/22/2021,To treat endometrial cancerPress Release
16.0,Nextstellis,drospirenone and estetrol tablets,4/15/2021,To prevent pregnancy
15.0,Qelbree,viloxazine,4/2/2021,For the treatment of attention deficit hyperactivity disorder
14.0,Zegalogue,dasiglucagon,3/22/2021,To treat severe hypoglycemia
13.0,Ponvory,ponesimod,3/18/2021,To treat patients with relapsing forms of multiple sclerosis
12.0,Fotivda,tivozanib,3/10/2021,To treat patients with renal cell carcinoma
11.0,Azstarys,serdexmethylphenidate and  dexmethylphenidate,3/2/2021,For the treatment of Attention Deficit Hyperactivity
10.0,Pepaxto,melphalan flufenamide,2/26/2021,For the treatment of certain patients with relapsed or refractory multiple myeloma
9.0,Nulibry,fosdenopterin,2/26/2021,To treat patients with the rare genetic disease molybdenum cofactor deficiency Type APress Release
8.0,Amondys 45,casimersen,2/25/2021,For the treatment of Duchenne muscular dystrophyPress Release
7.0,Cosela,trilacicilib,2/12/2021,To mitigate chemotherapy-induced myelosuppression in adult patients with small cell lung cancerPress Release
6.0,Evkeeza,evinacumab-dgnb,2/11/2021,For the treatment of homozygous familial hypercholesterolemia
5.0,Ukoniq,umbralisib,2/5/2021,For the treatment of certain patients with marginal zone lymphoma and follicular lymphoma
4.0,Tepmetko,tepotinib,2/3/2021,To treat non-small cell lung cancer
3.0,Lupkynis,voclosporin,1/22/2021,To treat lupus nephritisDrug Trials Snapshot
2.0,Cabenuva,cabotegravir and rilpivirine,1/21/2021,To treat HIVPress ReleaseDrug Trials Snapshot
1.0,Verquvo,vericiguat,1/19/2021,To treat chronic heart failureDrug Trials Snapshot
